"MATERIAL","INSTALLED","NOM_DIA_MM","LENGTH","condition_overall_score_label","condition_CCTV_score","condition_CCTV_date","condition_CCTV_source","condition_CCTV_app_availability","condition_instability_score","condition_corrosivity_score","condition_age_score","SHAPE_Length"
"CONC",2010,3700,598.31,"2","None","None","None","no",5,1,1,598.311279418507
"CONC",1977,2550,347.21,"3","None","None","None","no",5,3,2,347.21326173665
"CONC",1964,1600,320,"2","None","None","None","no",5,1,2,319.995139174508
"CONC",1964,1600,319.98,"2","None","None","None","no",5,1,2,319.983034172094
"CONC",1964,1600,251.5,"3","None","None","None","no",5,5,2,251.499969871022
"CONC",1964,2550,249.21,"3","3","2010","CCTV Footage Review Log South_Latest.xls","no",5,1,2,249.206790300991
"BRICK",1911,2362,227.92,"3","2","2013","CCTV Footage Review Log South_Latest.xls","no",5,1,4,227.915582287214
"CONC",1964,1600,156,"3","None","None","None","no",5,5,2,155.999951626391
"CONC",1964,1600,146,"3","None","None","None","no",5,5,2,146.000036138177
"BRICK",1911,1800,120.61,"4","None","None","None","no",5,1,4,120.606111387729
"CLS",2010,1200,119.79,"2","None","None","None","no",5,1,1,119.790937799377
"CLS",2010,1200,117.57,"2","None","None","None","no",5,1,1,117.570036403088
"CONC",1964,1600,117,"3","None","None","None","no",5,5,2,117.000221505931
"CONC",1964,2100,115.42,"2","2","2010","te puna wai","no",5,3,2,115.416491495399
"CONC",1964,1600,104.5,"3","None","None","None","no",5,5,2,104.499991164849
"CONC",2003,1200,103.63,"2","None","None","None","no",5,3,1,103.626886395864
"CONC",2004,1290,102.52,"2","2","2016","te puna wai","no",5,1,1,102.523936236865
"CONC",1964,1600,62.71,"2","None","None","None","no",5,1,2,62.7114836716278
"CONC",1964,1600,62.7,"2","None","None","None","no",5,1,2,62.7048914489144
"BRICK",1911,1500,43.33,"4","None","None","None","no",5,1,4,43.3262194857301
"CONC",1964,1200,35.03,"3","3","2019","CCTV Footage Review Log South_Latest.xls","no",5,3,2,35.0310591370048
"CONC",1980,2100,32.35,"3","3","2009","te puna wai","no",5,1,2,32.3531230994239
"CONC",2010,1550,29.29,"2","None","None","None","no",5,1,1,29.2939093236093
"CONC",1960,1220,22.03,"3","2","2015","te puna wai","no",5,1,3,22.0318956812348
"CONC",2012,1200,21.53,"2","None","None","None","no",5,3,1,21.5342876701514
"CONC",1959,1600,10.31,"3","1","2013","te puna wai","no",5,1,3,10.3125808839987
"CONC",1964,1350,10.18,"2","2","2016","te puna wai","no",5,3,2,10.1813197404944
"CONC",1964,1500,5.71,"2","None","None","None","no",5,1,2,5.71483836446764
"CONC",1964,1500,5.67,"2","None","None","None","no",5,1,2,5.67252539597773
"CONC",1999,1600,4.96,"3","3","2012","te puna wai","no",5,1,1,4.96435444031027
"CONC",1960,1220,4.86,"3","None","None","None","no",5,1,3,4.86096813174818
"CONC",1960,1220,4.05,"3","2","2015","te puna wai","no",5,1,3,4.04972552642092
"CONC",2013,1980,617.48,"2","None","None","None","no",3,3,1,617.476815036669
"CONC",1964,1600,445.77,"2","None","None","None","no",3,3,2,445.772403627072
"CONC",1964,1549,291.03,"4","4","2009","te puna wai","no",3,3,1,291.030022750454
"CONC",2021,2100,277.24,"2","None","None","None","no",3,3,1,277.242574908825
"CONC",2021,2100,227.29,"2","None","None","None","no",3,3,1,227.292195795184
"CONC",1964,1549,189.25,"4","4","2008","te puna wai","no",3,3,1,189.249481275914
"CONC",1964,1200,181.29,"2","2","2016","te puna wai","no",3,3,2,181.287937416842
"CONC",2021,2100,174.96,"2","None","None","None","no",3,3,1,174.963723611979
"CONC",1964,1600,162.97,"2","None","None","None","no",3,3,2,162.973258303827
"CONC",1964,1600,162.97,"2","None","None","None","no",3,3,2,162.973245116781
"CONC",1964,1600,137.28,"2","None","None","None","no",3,3,2,137.277216155049
"CONC",2021,2100,128.04,"2","None","None","None","no",3,3,1,128.042026492301
"CONC",2013,1980,100.36,"2","None","None","None","no",3,3,1,100.364745671509
"CONC",2021,2100,92.25,"2","None","None","None","no",3,3,1,92.2509294630908
"CONC",2004,1600,73.48,"2","2","2008","te puna wai","no",3,3,1,73.4847048662782
"FRP",2017,1200,73.46,"2","None","None","None","no",3,3,1,73.4633411979852
"CONC",1940,1800,63.62,"4","None","None","None","no",3,3,4,63.6217617568549
"CONC",2013,1980,62.05,"2","None","None","None","no",3,3,1,62.0534890065141
"CONC",1940,1800,46.56,"4","None","None","None","no",3,3,4,46.5599361689335
"CONC",1940,1800,39.15,"4","None","None","None","no",3,3,4,39.1523832118076
"CONC",2021,2100,34.19,"2","None","None","None","no",3,3,1,34.1913121090494
"CONC",2021,1350,24.57,"2","None","None","None","no",3,3,1,24.5663613627489
"CONC",1964,1200,21.53,"3","3","2016","te puna wai","no",3,3,2,21.5283115902588
"CONC",2017,1200,12.67,"2","None","None","None","no",3,5,1,12.6708016145674
"BRICK",1911,2100,11.15,"3","None","None","None","no",3,1,4,11.1454891111871
"CONC",2002,1600,10.55,"3","3","2008","te puna wai","no",3,3,1,10.5537805693608
"CONC",2017,1200,5.72,"2","None","None","None","no",3,3,1,5.719930068763
"BRICK",1927,1600,3.16,"3","None","None","None","no",3,1,3,3.16007674761375
"CLS",1964,1600,2.8,"4","None","None","None","no",3,3,5,2.79726797660182
"CONC",2010,3700,2008.79,"1","None","None","None","no",1,1,1,2008.78945058159
"CONC",1964,1600,370.61,"2","None","None","None","no",1,3,2,370.607858787607
"CONC",1964,1600,357.32,"2","None","None","None","no",1,3,2,357.321393815533
"CONC",2010,2700,339.85,"1","None","None","None","no",1,1,1,339.850363293973
"CONC",1964,2550,264.77,"2","2","2009","te puna wai","no",1,3,2,264.765018640195
"CONC",1964,1600,248.38,"2","None","None","None","no",1,1,2,248.377192224853
"CONC",1964,1600,248.12,"2","None","None","None","no",1,1,2,248.119064610542
"CONC",1999,1600,218.35,"3","3","2012","te puna wai","no",1,3,1,218.348609724104
"CONC",1961,1350,188.5,"4","4","2016","te puna wai","no",1,3,3,188.497247890081
"CONC",1964,1600,177.62,"2","None","None","None","no",1,1,2,177.61846655071
"CONC",1964,1549,148.38,"2","None","None","None","no",1,1,2,148.378490344684
"BRICK",1927,1200,132.94,"2","2","2012","te puna wai","no",1,1,3,132.941471819152
"CONC",1977,2550,124.29,"2","None","None","None","no",1,3,2,124.291267222322
"CONC",1964,2100,109.14,"3","3","2010","CCTV Footage Review Log South_Latest.xls","no",1,1,2,109.136858866154
"CONC",1964,1350,106.95,"3","3","2019","CCTV Footage Review Log South_Latest.xls","no",1,3,2,106.953254455452
"CONC",1977,2550,100.01,"2","None","None","None","no",1,3,2,100.006948283694
"CONC",1964,2100,88.93,"3","3","2009","te puna wai","no",1,3,2,88.9306998193963
"CONC",1964,2100,82.21,"2","None","None","None","no",1,3,2,82.213721561244
